Name,Final Project,Link,Status
,,,
How to Code - Simple Data,,https://www.edx.org/course/how-to-code-simple-data,Not started
How to Code - Complex Data,,https://www.edx.org/course/how-to-code-complex-data,Not started
Programming Languages A,,http://imp.i384100.net/oeD66b,Not started
Programming languages B,,http://imp.i384100.net/BXadd1,Not started
Programming Languages C,,http://imp.i384100.net/WDrQQP,Not started
Design Patterns,,http://imp.i384100.net/0JoKKM,Not started
Object-Oriented Design,,http://imp.i384100.net/Ea1ddP,Not started
Software Architecture,,http://imp.i384100.net/n1x666,Not started
https://cs50.harvard.edu/web/2020/,,https://cs50.harvard.edu/web/2020/,Not started